ratio,jaccard,tfidf,embedding
0.2,0.6029411764705882,0.9490023789890933,0.9851493
0.25,0.648854961832061,0.958441634008344,0.98341274
0.05,0.8296703296703297,0.99086708025195,0.97118914
0.1,0.8547486033519553,0.9966855470965279,0.96264416
0.15,0.6616915422885572,0.964128073300913,0.977059
0.2,0.7526315789473684,0.9817594395954675,0.96486545
0.25,0.6262135922330098,0.9644822282173264,0.9742514
0.05,0.875,1.0000000000000038,0.9833552
0.1,0.8072289156626506,0.9870157662919256,0.9838848
0.15,0.6853932584269663,0.9497481752481142,0.98975885
0.2,0.8518518518518519,0.966219393771666,0.99675244
0.25,0.8518518518518519,1.0000000000000038,0.99678326
0.05,0.7966101694915254,1.0000000000000007,0.9980815
0.1,0.7235772357723578,0.9855789203879688,0.9940423
0.15,0.6850393700787402,0.973095447346761,0.99021506
0.2,0.7899159663865546,0.9909963846490852,0.98313355
0.25,0.5777777777777777,0.9489043137570098,0.9681221
0.05,0.6724137931034483,0.9405244934951281,0.99409705
0.1,0.8113207547169812,0.97560575403433,0.9892663
0.15,0.8113207547169812,0.9813046992358782,0.98529035
0.2,0.7321428571428571,0.9639195483841128,0.98064893
0.25,0.5806451612903226,0.8852243749150963,0.95380783
0.05,0.917910447761194,0.9933284823623918,0.9616608
0.1,0.841726618705036,0.9911011185306142,0.98018193
0.15,0.9541984732824428,0.9955407625963452,0.99411595
0.2,0.7551020408163265,0.978920210385117,0.98677266
0.25,0.6125,0.9516327771771389,0.9655168
0.05,0.8461538461538461,0.992763697164847,0.99047947
0.1,0.7794117647058824,0.982044743418979,0.98806894
0.15,1.0,1.0000000000000007,1.0000001
0.2,0.9047619047619048,0.992763697164847,0.9991708
0.25,0.8461538461538461,0.992763697164847,0.9903432
0.05,0.95,0.9938418140426206,0.9949298
0.1,0.7798165137614679,0.9758049509045134,0.9286165
0.15,0.6869565217391305,0.959032669881911,0.88819623
0.2,0.5190839694656488,0.9147830022685621,0.85939527
0.25,0.5234375,0.9255302049523357,0.8751447
0.05,0.9240506329113924,0.9913353249612311,0.9985871
0.1,0.8536585365853658,1.0000000000000004,0.98716015
0.15,0.788235294117647,0.9913353249612311,0.9881344
0.2,0.7586206896551724,0.9785322666435939,0.96875703
0.25,0.7,0.9616757490749921,0.99024147
0.05,0.7910447761194029,0.9929446206749768,0.9965154
0.1,0.9047619047619048,0.9947146250346149,0.9971702
0.15,0.7910447761194029,0.9929446206749768,0.9738997
0.2,1.0,1.0000000000000002,1.0000001
0.25,0.5844155844155844,0.9614197562627147,0.9369508
0.05,0.9358288770053476,0.9999999999999994,0.98593295
0.1,0.6575342465753424,0.9782408733452876,0.9708143
0.15,0.6962616822429907,0.9792529338132581,0.98329926
0.2,0.6930232558139535,0.9775209479020949,0.9550934
0.25,0.5991189427312775,0.9635686533660273,0.96848184
0.05,0.8823529411764706,1.0000000000000004,0.98987174
0.1,0.6623376623376623,0.9781120179555286,0.9891014
0.15,0.855072463768116,0.992034158588184,0.9776216
0.2,0.6623376623376623,0.9780397394283011,0.908415
0.25,0.6883116883116883,0.9780397394283011,0.9765346
0.05,0.7193877551020408,0.9808719160193052,0.9759847
0.1,0.765625,0.9837038626783816,0.9755562
0.15,0.5813953488372093,0.9482828311028247,0.98137796
0.2,0.7422680412371134,0.9807785640775456,0.97627246
0.25,0.5381165919282511,0.9467326291428958,0.9395391
0.05,0.7596899224806202,0.9874757113929836,0.97100574
0.1,0.8813559322033898,0.9957699432196345,0.98699117
0.15,0.8048780487804879,0.9915575195393955,0.9823081
0.2,0.7076923076923077,0.979997995567017,0.9877596
0.25,0.6567164179104478,0.9718185675072557,0.96546805
0.05,0.759493670886076,0.971814045158152,0.98126495
0.1,0.7160493827160493,0.9534262932334862,0.9795089
0.15,0.8051948051948052,0.971814045158152,0.99219704
0.2,0.6235294117647059,0.908444877949728,0.97014713
0.25,0.691358024691358,0.9529828524552976,0.9795799
0.05,0.847457627118644,0.9925868011552137,0.90026075
0.1,0.7694805194805194,0.98549271901307,0.8708693
0.15,0.7160883280757098,0.985519441156464,0.75596386
0.2,0.7637540453074434,0.9842507108678389,0.8833524
0.25,0.6615853658536586,0.9780848287757035,0.9348413
0.05,0.9466666666666667,1.0000000000000029,0.9846792
0.1,0.9466666666666667,1.0000000000000029,0.9846792
0.15,0.8717948717948718,0.9893785259202914,0.98213726
0.2,0.7590361445783133,0.9788678775004007,0.9828911
0.25,0.7380952380952381,0.9684663291914343,0.9829669
0.05,0.84,0.9911750600032645,0.9786493
0.1,0.7564102564102564,0.9618849131731471,0.9860977
0.15,0.8513513513513513,0.9731037652965494,0.9744637
0.2,0.6162790697674418,0.930702829300763,0.97320795
0.25,0.5747126436781609,0.8939074956426676,0.8981209
0.05,1.0,0.9999999999999974,0.99999994
0.1,0.8823529411764706,0.9929686212695948,0.97368693
0.15,0.9876543209876543,0.992968621269595,0.9907876
0.2,0.6237623762376238,0.9315350061698385,0.97866434
0.25,0.7888888888888889,0.9654263092869904,0.9845618
0.05,1.0,1.0000000000000002,1.0000001
0.1,0.8481012658227848,0.9789483526385677,0.9074179
0.15,0.7804878048780488,0.9644992593471697,0.97312903
0.2,0.7380952380952381,0.9348397799661835,0.9573678
0.25,0.8607594936708861,0.9643536437902117,0.97812915
0.05,0.8632478632478633,0.9960535666104358,0.9608494
0.1,0.7892561983471075,0.9904328132006667,0.94862515
0.15,0.7642276422764228,0.9871061494102255,0.95105904
0.2,0.7469879518072289,0.9771473949393554,0.97811884
0.25,0.6679389312977099,0.9747522569009162,0.9333071
0.05,0.9259259259259259,0.9999999999999997,0.9972391
0.1,0.6377952755905512,0.9582458699883266,0.9784503
0.15,0.6666666666666666,0.9529211735838893,0.9690417
0.2,0.8828828828828829,0.9840180739012071,0.9979545
0.25,0.6328125,0.9577643287206663,0.90644014
0.05,0.9215686274509803,0.9999999999999999,0.9937489
0.1,0.7043478260869566,0.9559420934792655,0.94913864
0.15,0.9029126213592233,0.9999999999999999,0.9807843
0.2,0.6554621848739496,0.9597479502291965,0.98218644
0.25,0.6694915254237288,0.9613369651718241,0.9780018
0.05,0.9,1.0000000000000004,0.99940175
0.1,0.8554216867469879,0.9815100539736316,0.9957213
0.15,0.7386363636363636,0.983366531304342,0.95990586
0.2,0.631578947368421,0.9509319956599673,0.935536
0.25,0.6923076923076923,0.9591885454842882,0.96509755
0.05,0.8495575221238938,0.9823447748481706,0.9822037
0.1,0.6587301587301587,0.9412922006060868,0.96411276
0.15,0.6746031746031746,0.9541675910382907,0.98672605
0.2,0.6614173228346457,0.9451561885733826,0.9893322
0.25,0.5289855072463768,0.9199292116030494,0.95011926
0.05,0.8441558441558441,0.9854728638012231,0.9956924
0.1,0.7974683544303798,0.9711526456680452,0.9843643
0.15,0.8441558441558441,0.9711526456680452,0.998843
0.2,0.6436781609195402,0.9502545252272813,0.99290633
0.25,0.6511627906976745,0.9570349559889918,0.96934307
0.05,0.7387387387387387,0.9812255966296736,0.98689324
0.1,0.794392523364486,0.9924309621385132,0.9903532
0.15,0.5772357723577236,0.9457542033369436,0.9849392
0.2,0.7777777777777778,0.9792002999187552,0.9900092
0.25,0.6440677966101694,0.9607203545516121,0.98266804
0.05,0.9,0.9922223463466665,0.9706964
0.1,0.8269230769230769,0.9922223463466665,0.99054575
0.15,0.7053571428571429,0.9616611170613225,0.97250104
0.2,0.7757009345794392,0.969243722011783,0.9815881
0.25,0.646551724137931,0.9532361936113475,0.96957207
0.05,0.8217821782178217,0.9847689271241572,0.9947696
0.1,0.9574468085106383,0.9999999999999998,0.9898703
0.15,0.8316831683168316,0.9809100270861745,0.9940846
0.2,0.8775510204081632,0.9934641161562584,0.992723
0.25,0.5862068965517241,0.9363507624210399,0.9451125
0.05,0.9322033898305084,1.0000000000000002,0.9896294
0.1,0.7709923664122137,0.9775008248497458,0.9535148
0.15,0.8125,0.982621250713553,0.97097147
0.2,0.6838235294117647,0.9707088293026999,0.9882864
0.25,0.9,0.9905253266141153,0.99825007
0.05,0.8016528925619835,0.9893610047426151,0.991547
0.1,0.7301587301587301,0.9847370776484728,0.98004687
0.15,0.6666666666666666,0.9562042159144853,0.9699654
0.2,0.847457627118644,0.9879166346146094,0.9867766
0.25,0.6641221374045801,0.971331956743695,0.98805666
0.05,0.7142857142857143,0.9665057898374897,0.9791453
0.1,0.7272727272727273,0.96115516081528,0.96134925
0.15,0.7866666666666666,0.9780326725481749,0.99490976
0.2,0.8333333333333334,0.9887107962841923,0.9944633
0.25,0.7051282051282052,0.96115516081528,0.96323824
0.05,0.85,1.0000000000000004,0.9805273
0.1,0.6629213483146067,0.9784233238682302,0.9871128
0.15,0.5913978494623656,0.9598918418910298,0.98702025
0.2,0.3761467889908257,0.8915831510716012,0.98242545
0.25,0.4368932038834951,0.9269413129228348,0.9796486
0.05,0.9065420560747663,0.99237250840242,0.98496825
0.1,0.8888888888888888,0.99237250840242,0.9808288
0.15,0.7024793388429752,0.9553088784191478,0.9819106
0.2,0.7586206896551724,0.9772885929743148,0.97911704
0.25,0.7982456140350878,0.9736101987224427,0.96948665
0.05,0.8105263157894737,0.9943489383601399,0.9566134
0.1,0.8297872340425532,0.9925452224026605,0.9700621
0.15,0.6893203883495146,0.9662069360231542,0.9566875
0.2,0.6018518518518519,0.9359973841696775,0.96504676
0.25,0.6226415094339622,0.9414280734456363,0.93110186
0.05,0.8103448275862069,0.9919035578206232,0.9820492
0.1,0.7796610169491526,0.9919035578206232,0.9769039
0.15,0.704,0.9612603470519184,0.9900724
0.2,0.7796610169491526,0.9857782624947378,0.97966784
0.25,0.5401459854014599,0.9398896765375472,0.9542843
0.05,0.8775510204081632,0.9999999999999997,0.9969655
0.1,0.719626168224299,0.9790032110577651,0.97465456
0.15,0.55,0.9383142233018091,0.9577427
0.2,0.6607142857142857,0.9619787086334094,0.9265724
0.25,0.55,0.9216143431406958,0.9774679
0.05,0.8421052631578947,0.9803936677936046,0.9780123
0.1,0.8913043478260869,0.9738281089554213,0.9949447
0.15,0.8125,0.9738281089554213,0.9892075
0.2,0.6666666666666666,0.9298650726800026,0.97978973
0.25,0.5675675675675675,0.8992194543967028,0.98379606
0.05,0.8726114649681529,0.9936274536548437,0.987967
0.1,0.8148148148148148,0.9904561951929325,0.96860623
0.15,0.7209302325581395,0.9807682367873857,0.9792286
0.2,0.6666666666666666,0.9638288217495059,0.93943346
0.25,0.7028571428571428,0.9823412364031624,0.9316351
0.05,0.8861788617886179,0.9965583607525924,0.98718643
0.1,0.753731343283582,0.981992638178709,0.98275864
0.15,0.864,0.9898806497519633,0.98589754
0.2,0.5256410256410257,0.948207275678041,0.9714687
0.25,0.6666666666666666,0.9625531853558886,0.94955397
0.05,0.75,0.96498554756504,0.99235296
0.1,0.7647058823529411,0.9789131834430307,0.98940223
0.15,0.7047619047619048,0.9610438717111816,0.9732971
0.2,0.7307692307692307,0.9532192627366042,0.98479426
0.25,0.7403846153846154,0.9604983303770142,0.98395663
0.05,0.7307692307692307,0.9787025098066624,0.9800102
0.1,0.8873239436619719,1.0000000000000002,0.99147594
0.15,0.5054945054945055,0.9132766462994227,0.9694617
0.2,0.6962025316455697,0.9576490669488211,0.98526794
0.25,0.4835164835164835,0.9036460086156269,0.9103757
0.05,0.7865853658536586,0.9868045523392259,0.96229947
0.1,0.8481012658227848,0.995835357588217,0.9570774
0.15,0.7914110429447853,0.9886574363337941,0.9778459
0.2,0.5531914893617021,0.9479889770047512,0.91711175
0.25,0.6120218579234973,0.9589568037936168,0.9515062
0.05,0.764102564102564,0.9861734632624076,0.95510054
0.1,0.6945812807881774,0.973898915446278,0.953573
0.15,0.645933014354067,0.9572173372607045,0.92749274
0.2,0.7424242424242424,0.975508533585172,0.9709047
0.25,0.7461928934010152,0.9740206780691231,0.9618783
0.05,0.6824324324324325,0.973691715623034,0.98245
0.1,0.7535211267605634,0.9723576199554114,0.98835003
0.15,0.7361111111111112,0.9723254616275889,0.97027314
0.2,0.6381578947368421,0.9600812041110075,0.9850083
0.25,0.6168831168831169,0.9490582331132339,0.98424107
0.05,0.6940639269406392,0.9829218653287567,0.97822183
0.1,0.7255813953488373,0.9877397123952423,0.9805329
0.15,0.5991379310344828,0.9678446049665128,0.97074854
0.2,0.5847457627118644,0.9582637700078198,0.9426072
0.25,0.6519823788546255,0.9708090747359871,0.9743293
0.05,0.8010752688172043,0.989797599123094,0.94193494
0.1,0.6868686868686869,0.9723075708489752,0.95573044
0.15,0.700507614213198,0.972287910211519,0.9475885
0.2,0.5248868778280543,0.9415776815361345,0.92816395
0.25,0.5294117647058824,0.9389731645715993,0.9301596
0.05,0.8273381294964028,0.996884394219903,0.9185566
0.1,0.7397260273972602,0.9906775119451748,0.7419493
0.15,0.6966666666666667,0.9840843828488218,0.7990097
0.2,0.7138047138047138,0.9862576739395935,0.9236983
0.25,0.6088328075709779,0.9738637646974082,0.7209908
0.05,0.8292682926829268,0.9921127443111859,0.992066
0.1,0.7441860465116279,0.9714466046461316,0.9903397
0.15,0.7647058823529411,0.9841316344287261,0.9934873
0.2,0.8072289156626506,0.9817256232926875,0.98879576
0.25,0.7647058823529411,0.9817256232926875,0.9862668
